TOP,MIDDLE,JUNGLE,BOTTOM,UTILITY,OUTCOME,experience,goldspent,baron,champion_kills,dragon,inhibitor,riftHerald,tower,teamId
Gnar,Talon,Taliyah,Ezreal,Blitzcrank,Win,42945,5500,0,32,1,0,2,6,100
Sylas,Qiyana,LeeSin,Zeri,Yuumi,Lose,38040,42290,0,17,1,0,0,1,200
Illaoi,Veigar,Amumu,Caitlyn,Brand,Win,86521,11375,1,46,4,4,1,11,100
Kayle,TwistedFate,Kayn,MissFortune,Leona,Lose,79002,85852,0,34,0,0,0,4,200
Malphite,Neeko,Kindred,Xayah,Nasus,Win,57527,6225,1,31,1,2,2,8,100
Jayce,Sylas,MasterYi,Ezreal,Bard,Lose,48745,53595,0,15,2,0,0,3,200
Malphite,Yone,Zac,Jinx,Rakan,Win,30936,32261,0,16,1,0,2,3,200
Jayce,Gragas,Khazix,Xayah,Thresh,Lose,28261,31911,0,9,1,0,0,0,100
Malphite,Yasuo,Nidalee,Zeri,Lulu,Win,68905,8000,1,39,2,1,1,7,100
Gwen,Zoe,XinZhao,Varus,Rakan,Lose,57589,65039,0,24,2,0,1,5,200
Jax,Anivia,Graves,Ezreal,Karma,Win,79994,8400,1,36,3,1,2,10,100
KSante,Ahri,Volibear,Twitch,Nautilus,Lose,65752,74627,0,22,1,0,0,1,200
KSante,Viktor,Kindred,Ezreal,Blitzcrank,Win,84497,78656,1,38,3,2,1,10,200
Jayce,Kassadin,Viego,Aphelios,Zyra,Lose,69481,76931,0,20,2,0,1,4,100
Shen,Yasuo,Kayn,Kaisa,Swain,Win,75648,83009,1,36,1,2,1,7,200
KSante,Ahri,Diana,Twitch,Blitzcrank,Lose,73749,82649,1,37,3,0,0,3,100
Warwick,Cassiopeia,Belveth,Aphelios,Milio,Win,30853,32022,0,9,1,0,1,2,200
Sett,Katarina,Poppy,Ezreal,Soraka,Lose,28447,31172,0,5,0,0,0,0,100
Warwick,Cassiopeia,Belveth,Aphelios,Rammus,Win,103554,101714,0,64,0,1,0,4,200
Sett,Katarina,Poppy,Ezreal,Teemo,Lose,87234,98784,0,37,0,0,0,1,100
Sett,Braum,Rengar,Ezreal,Pantheon,Win,78055,15225,1,52,2,1,0,7,100
Kayle,Akali,Hecarim,Jinx,Pantheon,Lose,62720,74270,0,35,1,0,2,6,200
Rengar,Galio,Shaco,Twitch,Thresh,Win,66680,60588,1,41,2,1,1,7,200
Poppy,Annie,LeeSin,Xayah,Rakan,Lose,52888,58838,0,21,1,0,1,4,100
Rengar,Galio,Shaco,Twitch,Syndra,Win,108094,109513,0,68,0,1,0,4,200
Poppy,Annie,LeeSin,Xayah,JarvanIV,Lose,96413,108388,0,53,0,0,0,1,100
Olaf,Jayce,Nidalee,Varus,Poppy,Win,63365,7950,1,30,2,2,1,10,100
Vayne,Zoe,Khazix,Aphelios,Yuumi,Lose,59109,66584,0,25,2,0,1,5,200
Ornn,Irelia,Nidalee,Tristana,Lissandra,Win,54407,8210,1,26,1,1,2,9,100
KSante,Kassadin,Shaco,Aphelios,Braum,Lose,41444,47444,0,18,1,0,0,0,200
Darius,AurelionSol,Belveth,Ezreal,Soraka,Win,45507,36959,0,41,3,2,2,11,200
Udyr,Syndra,Sylas,Zeri,Lulu,Lose,31559,35634,0,14,0,0,0,0,100
Urgot,Azir,Zac,Aphelios,Thresh,Win,79289,77234,2,34,3,2,0,9,200
Irelia,Katarina,LeeSin,Lucian,Yuumi,Lose,68534,82834,0,26,2,0,2,6,100
Gragas,Tristana,Nidalee,Aphelios,Thresh,Win,46867,44315,0,25,2,0,2,7,200
Ahri,Velkoz,Rengar,Jinx,Milio,Lose,38365,43015,0,10,0,0,0,1,100
Quinn,Galio,XinZhao,Aphelios,Rakan,Win,66250,7875,0,37,2,2,2,8,100
